date,market,ticker,currency,settle,segment,price
2022-10-03,BYMA,BK,ARS,2,Guaranteed,6157.000000000000
2022-10-03,BYMA,BMY,ARS,2,Guaranteed,7296.000000000000
2022-10-03,BYMA,BNG,ARS,0,Guaranteed,NULL
2022-10-03,BYMA,BNG,ARS,2,Guaranteed,5206.500000000000
2022-10-03,BYMA,BNGD,USM,2,Guaranteed,17.450000000000
2022-10-03,BYMA,BP,ARS,0,Guaranteed,1873.000000000000
2022-10-03,BYMA,BP,ARS,2,Guaranteed,1870.500000000000
2022-10-03,BYMA,BPD,USM,2,Guaranteed,6.100000000000
2022-10-03,BYMA,BRFS,ARS,2,Guaranteed,2453.000000000000
2022-10-03,BYMA,BRKB,ARS,0,Guaranteed,3869.000000000000
2022-10-03,BYMA,BRKB,ARS,2,Guaranteed,3843.500000000000
2022-10-03,BYMA,BRKBB,ARS,2,Guaranteed,3827.500000000000
2022-10-03,BYMA,BRKBD,USM,2,Guaranteed,13.200000000000
2022-10-03,BYMA,BSBR,ARS,2,Guaranteed,1915.000000000000
2022-10-03,BYMA,C.D,USM,2,Guaranteed,NULL
2022-10-03,BYMA,C,ARS,0,Guaranteed,4300.000000000000
2022-10-03,BYMA,C,ARS,2,Guaranteed,4407.500000000000
2022-10-03,BYMA,CAAP,ARS,2,Guaranteed,8930.000000000000
2022-10-03,BYMA,CAH,ARS,2,Guaranteed,6945.500000000000
2022-10-03,BYMA,CAR,ARS,2,Guaranteed,49064.000000000000
2022-10-03,BYMA,CAT,ARS,0,Guaranteed,10212.000000000000
2022-10-03,BYMA,CAT,ARS,2,Guaranteed,10626.500000000000
2022-10-03,BYMA,CBRD,ARS,2,Guaranteed,1177.000000000000
2022-10-03,BYMA,CDE,ARS,2,Guaranteed,1192.500000000000
2022-10-03,BYMA,CL,ARS,2,Guaranteed,7237.500000000000
2022-10-03,BYMA,COIN,ARS,0,Guaranteed,783.500000000000
2022-10-03,BYMA,COIN,ARS,2,Guaranteed,755.000000000000
2022-10-03,BYMA,COIND,USM,0,Guaranteed,NULL
2022-10-03,BYMA,COST,ARS,0,Guaranteed,12259.000000000000
2022-10-03,BYMA,COST,ARS,2,Guaranteed,12306.000000000000
2022-10-03,BYMA,CRM,ARS,2,Guaranteed,7640.500000000000
2022-10-03,BYMA,CS,ARS,2,Guaranteed,1232.000000000000
2022-10-03,BYMA,CSCO,ARS,0,Guaranteed,2589.000000000000
2022-10-03,BYMA,CSCO,ARS,2,Guaranteed,2562.500000000000
2022-10-03,BYMA,CSCOD,USM,2,Guaranteed,NULL
2022-10-03,BYMA,CVX,ARS,0,Guaranteed,5910.000000000000
2022-10-03,BYMA,CVX,ARS,2,Guaranteed,5877.500000000000
2022-10-03,BYMA,CVXD,USM,2,Guaranteed,19.600000000000
2022-10-03,BYMA,CX,ARS,2,Guaranteed,1084.500000000000
2022-10-03,BYMA,DD,ARS,2,Guaranteed,3254.500000000000
2022-10-03,BYMA,DE,ARS,2,Guaranteed,10676.500000000000
2022-10-03,BYMA,DEO,ARS,2,Guaranteed,8817.000000000000
2022-10-03,BYMA,DESP,ARS,0,Guaranteed,1830.500000000000
2022-10-03,BYMA,DESP,ARS,2,Guaranteed,1865.500000000000
2022-10-03,BYMA,DESPD,USM,2,Guaranteed,5.750000000000
2022-10-03,BYMA,DIA,ARS,0,Guaranteed,4599.500000000000
2022-10-03,BYMA,DIA,ARS,2,Guaranteed,4573.000000000000
2022-10-03,BYMA,DIAD,USM,2,Guaranteed,15.250000000000
2022-10-03,BYMA,DISN,ARS,0,Guaranteed,7483.000000000000
2022-10-03,BYMA,DISN,ARS,2,Guaranteed,7521.000000000000
2022-10-03,BYMA,DISND,USM,2,Guaranteed,25.200000000000
2022-10-03,BYMA,DJNJ2,ARS,2,Guaranteed,333.000000000000
2022-10-03,BYMA,DJNJ3,ARS,0,Guaranteed,NULL
2022-10-03,BYMA,DJNJ3,ARS,2,Guaranteed,NULL
2022-10-03,BYMA,DOCU,ARS,0,Guaranteed,734.500000000000
2022-10-03,BYMA,DOCU,ARS,2,Guaranteed,747.000000000000
2022-10-03,BYMA,DOW,ARS,0,Guaranteed,2346.500000000000
2022-10-03,BYMA,DOW,ARS,2,Guaranteed,2346.500000000000
2022-10-03,BYMA,EA,ARS,0,Guaranteed,2561.000000000000
2022-10-03,BYMA,EA,ARS,2,Guaranteed,2662.000000000000
2022-10-03,BYMA,EBAY,ARS,0,Guaranteed,NULL
2022-10-03,BYMA,EBAY,ARS,2,Guaranteed,5773.000000000000
2022-10-03,BYMA,EBAYD,USM,2,Guaranteed,NULL
2022-10-03,BYMA,EBR,ARS,2,Guaranteed,10686.500000000000
2022-10-03,BYMA,EEM,ARS,0,Guaranteed,2182.000000000000
2022-10-03,BYMA,EEM,ARS,2,Guaranteed,2198.000000000000
2022-10-03,BYMA,EFX,ARS,2,Guaranteed,3285.000000000000
2022-10-03,BYMA,ERIC,ARS,2,Guaranteed,NULL
2022-10-03,BYMA,ERJ,ARS,2,Guaranteed,2876.000000000000
2022-10-03,BYMA,ERJD,USM,2,Guaranteed,NULL
2022-10-03,BYMA,ETSY,ARS,0,Guaranteed,2020.000000000000
2022-10-03,BYMA,ETSY,ARS,2,Guaranteed,2021.500000000000
2022-10-03,BYMA,ETSYD,USM,2,Guaranteed,6.770000000000
2022-10-03,BYMA,EWZ,ARS,0,Guaranteed,5034.500000000000
2022-10-03,BYMA,EWZ,ARS,1,Guaranteed,5023.500000000000
2022-10-03,BYMA,EWZ,ARS,2,Guaranteed,5038.500000000000
2022-10-03,BYMA,EWZD,USM,0,Guaranteed,NULL
2022-10-03,BYMA,EWZD,USM,2,Guaranteed,17.000000000000
2022-10-03,BYMA,F,ARS,2,Guaranteed,3551.500000000000
2022-10-03,BYMA,FCX,ARS,0,Guaranteed,8900.000000000000
2022-10-03,BYMA,FCX,ARS,2,Guaranteed,9095.000000000000
2022-10-03,BYMA,FD,USM,2,Guaranteed,NULL
2022-10-03,BYMA,FDX,ARS,0,Guaranteed,4650.000000000000
2022-10-03,BYMA,FDX,ARS,2,Guaranteed,4695.000000000000
2022-10-03,BYMA,FMX,ARS,2,Guaranteed,9929.500000000000
2022-10-03,BYMA,FSLR,ARS,2,Guaranteed,14065.500000000000
2022-10-03,BYMA,GE,ARS,2,Guaranteed,19740.000000000000
2022-10-03,BYMA,GFI,ARS,2,Guaranteed,2584.000000000000
2022-10-03,BYMA,GGB,ARS,2,Guaranteed,6051.000000000000
2022-10-03,BYMA,GILD,ARS,2,Guaranteed,4835.500000000000
2022-10-03,BYMA,GLOB,ARS,0,Guaranteed,9650.000000000000
2022-10-03,BYMA,GLOB,ARS,2,Guaranteed,9837.500000000000
2022-10-03,BYMA,GLOBD,USM,2,Guaranteed,NULL
2022-10-03,BYMA,GM,ARS,2,Guaranteed,1694.500000000000
2022-10-03,BYMA,GOGLD,USM,0,Guaranteed,1.780000000000
2022-10-03,BYMA,GOGLD,USM,2,Guaranteed,1.800000000000
2022-10-03,BYMA,GOLD,ARS,0,Guaranteed,4898.000000000000
2022-10-03,BYMA,GOLD,ARS,2,Guaranteed,4912.000000000000
2022-10-03,BYMA,GOLDD,USM,0,Guaranteed,16.000000000000
2022-10-03,BYMA,GOLDD,USM,2,Guaranteed,16.400000000000
2022-10-03,BYMA,GOOGL,ARS,0,Guaranteed,533.500000000000
2022-10-03,BYMA,GOOGL,ARS,1,Guaranteed,522.000000000000
2022-10-03,BYMA,GOOGL,ARS,2,Guaranteed,525.000000000000
2022-10-03,BYMA,GPRK,ARS,2,Guaranteed,3848.500000000000
2022-10-03,BYMA,GRMN,ARS,2,Guaranteed,8532.000000000000
2022-10-03,BYMA,GS,ARS,2,Guaranteed,7142.000000000000
2022-10-03,BYMA,GSD,USM,2,Guaranteed,NULL
2022-10-03,BYMA,GSK,ARS,2,Guaranteed,2345.000000000000
2022-10-03,BYMA,HAL,ARS,0,Guaranteed,4000.000000000000
2022-10-03,BYMA,HAL,ARS,2,Guaranteed,4095.000000000000
2022-10-03,BYMA,HD,ARS,0,Guaranteed,10496.000000000000
2022-10-03,BYMA,HD,ARS,2,Guaranteed,11004.500000000000
2022-10-03,BYMA,HDB,ARS,2,Guaranteed,9051.500000000000
2022-10-03,BYMA,HL,ARS,2,Guaranteed,1320.000000000000
2022-10-03,BYMA,HMC,ARS,2,Guaranteed,6948.500000000000
2022-10-03,BYMA,HMY,ARS,0,Guaranteed,778.500000000000
2022-10-03,BYMA,HMY,ARS,2,Guaranteed,786.500000000000
2022-10-03,BYMA,HMYD,USM,2,Guaranteed,2.600000000000
2022-10-03,BYMA,HOG,ARS,2,Guaranteed,3744.500000000000
2022-10-03,BYMA,HON,ARS,2,Guaranteed,6675.000000000000
2022-10-03,BYMA,HPQ,ARS,2,Guaranteed,8068.000000000000
2022-10-03,BYMA,HSBC,ARS,2,Guaranteed,4087.500000000000
2022-10-03,BYMA,HSY,ARS,2,Guaranteed,23178.500000000000
2022-10-03,BYMA,HUT,ARS,0,Guaranteed,2880.000000000000
2022-10-03,BYMA,HUT,ARS,2,Guaranteed,2947.500000000000
2022-10-03,BYMA,IBM,ARS,2,Guaranteed,7546.500000000000
2022-10-03,BYMA,IBN,ARS,2,Guaranteed,6503.500000000000
2022-10-03,BYMA,IFF,ARS,2,Guaranteed,14397.500000000000
2022-10-03,BYMA,ING,ARS,2,Guaranteed,904.000000000000
2022-10-03,BYMA,INTC,ARS,0,Guaranteed,1675.000000000000
2022-10-03,BYMA,INTC,ARS,2,Guaranteed,1675.000000000000
2022-10-03,BYMA,INTCD,USM,2,Guaranteed,5.770000000000
2022-10-03,BYMA,IP,ARS,2,Guaranteed,2517.500000000000
2022-10-03,BYMA,ITUB,ARS,2,Guaranteed,1764.500000000000
2022-10-03,BYMA,ITUBD,USM,2,Guaranteed,NULL
2022-10-03,BYMA,IWM,ARS,0,Guaranteed,NULL
2022-10-03,BYMA,IWM,ARS,2,Guaranteed,5244.000000000000
2022-10-03,BYMA,IWMD,USM,2,Guaranteed,16.900000000000
2022-10-03,BYMA,JD,ARS,2,Guaranteed,7665.000000000000
2022-10-03,BYMA,JMIA,ARS,2,Guaranteed,1810.000000000000
2022-10-03,BYMA,JMIAD,USM,2,Guaranteed,NULL
2022-10-03,BYMA,JNJ,ARS,0,Guaranteed,10012.000000000000
2022-10-03,BYMA,JNJ,ARS,1,Guaranteed,9984.500000000000
2022-10-03,BYMA,JNJ,ARS,2,Guaranteed,10105.000000000000
2022-10-03,BYMA,JNJD,USM,2,Guaranteed,33.850000000000
2022-10-03,BYMA,JPM,ARS,0,Guaranteed,6615.000000000000
2022-10-03,BYMA,JPM,ARS,2,Guaranteed,6679.000000000000
2022-10-03,BYMA,JPMD,USM,2,Guaranteed,22.450000000000
2022-10-03,BYMA,KB,ARS,2,Guaranteed,NULL
2022-10-03,BYMA,KGC,ARS,2,Guaranteed,1211.500000000000
2022-10-03,BYMA,KMB,ARS,2,Guaranteed,5903.500000000000
2022-10-03,BYMA,KO,ARS,0,Guaranteed,3493.000000000000
2022-10-03,BYMA,KO,ARS,1,Guaranteed,3448.000000000000
2022-10-03,BYMA,KO,ARS,2,Guaranteed,3505.500000000000
2022-10-03,BYMA,KOD,USM,0,Guaranteed,11.700000000000
2022-10-03,BYMA,KOD,USM,2,Guaranteed,11.700000000000
2022-10-03,BYMA,KOFM,ARS,0,Guaranteed,NULL
2022-10-03,BYMA,KOFM,ARS,2,Guaranteed,9371.500000000000
2022-10-03,BYMA,LLY,ARS,2,Guaranteed,12487.000000000000
2022-10-03,BYMA,LMT,ARS,2,Guaranteed,6202.000000000000
2022-10-03,BYMA,LRCX,ARS,2,Guaranteed,2151.500000000000
2022-10-03,BYMA,LVS,ARS,2,Guaranteed,5988.000000000000
2022-10-03,BYMA,LYG,ARS,0,Guaranteed,NULL
2022-10-03,BYMA,LYG,ARS,2,Guaranteed,286.000000000000
2022-10-03,BYMA,MA,ARS,0,Guaranteed,2590.000000000000
2022-10-03,BYMA,MA,ARS,2,Guaranteed,2725.000000000000
2022-10-03,BYMA,MAD,USM,2,Guaranteed,NULL
2022-10-03,BYMA,MCD,ARS,0,Guaranteed,9122.500000000000
2022-10-03,BYMA,MCD,ARS,2,Guaranteed,9122.000000000000
2022-10-03,BYMA,MCDD,USM,2,Guaranteed,30.600000000000
2022-10-03,BYMA,MDT,ARS,2,Guaranteed,6416.000000000000
2022-10-03,BYMA,MELI,ARS,0,Guaranteed,4451.000000000000
2022-10-03,BYMA,MELI,ARS,1,Guaranteed,4520.000000000000
2022-10-03,BYMA,MELI,ARS,2,Guaranteed,4556.500000000000
2022-10-03,BYMA,MELID,USM,0,Guaranteed,14.850000000000
2022-10-03,BYMA,MELID,USM,2,Guaranteed,15.400000000000
2022-10-03,BYMA,META,ARS,0,Guaranteed,5351.500000000000
2022-10-03,BYMA,META,ARS,2,Guaranteed,5368.500000000000
2022-10-03,BYMA,METAD,USM,2,Guaranteed,18.000000000000
2022-10-03,BYMA,MMC,ARS,2,Guaranteed,11916.500000000000
2022-10-03,BYMA,MMM,ARS,0,Guaranteed,6731.500000000000
2022-10-03,BYMA,MMM,ARS,1,Guaranteed,6920.000000000000
2022-10-03,BYMA,MMM,ARS,2,Guaranteed,7024.500000000000
2022-10-03,BYMA,MMMD,USM,2,Guaranteed,23.300000000000
2022-10-03,BYMA,MO,ARS,0,Guaranteed,3200.000000000000
2022-10-03,BYMA,MO,ARS,2,Guaranteed,3210.000000000000
2022-10-03,BYMA,MOD,USM,0,Guaranteed,NULL
2022-10-03,BYMA,MOD,USM,2,Guaranteed,11.200000000000
2022-10-03,BYMA,MOS,ARS,2,Guaranteed,3085.500000000000
2022-10-03,BYMA,MRK,ARS,2,Guaranteed,5408.500000000000
2022-10-03,BYMA,MRKD,USM,2,Guaranteed,NULL
2022-10-03,BYMA,MSFT,ARS,0,Guaranteed,7354.500000000000
2022-10-03,BYMA,MSFT,ARS,2,Guaranteed,7460.000000000000
2022-10-03,BYMA,MSFTD,USM,0,Guaranteed,NULL
2022-10-03,BYMA,MSFTD,USM,2,Guaranteed,24.950000000000
2022-10-03,BYMA,MSTR,ARS,0,Guaranteed,3378.500000000000
2022-10-03,BYMA,MSTR,ARS,2,Guaranteed,3485.500000000000
2022-10-03,BYMA,MU,ARS,2,Guaranteed,3210.500000000000
2022-10-03,BYMA,MUFG,ARS,2,Guaranteed,1407.000000000000
2022-10-03,BYMA,NEM,ARS,2,Guaranteed,4527.000000000000
